mes_id,aeropuerto_oaci,internacional_domestico,cnt_operaciones
200005.0,SCCF,D,360.0
200005.0  ,SCCH,D,87.0
200005.0,SCCI,D  ,513.0
200005.0,SCCI,I,12.0
200005.0,,D,315.0
200005.0,SCDA,D,1386.0
200005.0,SCDA,I,55.0
200005.0,SCEL,D,2968.0
200005.0,SCEL,I,2686.0
200005.0,SCES,D,72.0
200005.0,SCFA,,1451.0
200005.0,SCFA,I,2.0
200005.0  ,SCFM,D,
200005.0,SCFT,D  ,2.0
200005.0  ,SCGE,D,56.0
200005.0,SCGZ,D,32.0
200005.0,SCHA,D,347.0
200005.0,SCHA,I,2.0
200005.0,SCHR,D,34.0
200005.0,SCIC,D,263.0
200005.0,SCIE,D,1220.0
200005.0,SCIE,I,15.0
200005.0,SCIP,D,19.0
200005.0,SCIP,I  ,23.0
200005.0,SCJO,D,381.0
200005.0,SCLC,D,753.0
200005.0,SCLL,D,355.0
200005.0,SCNT,D,2.0
200005.0,SCRD,D,285.0
200005.0,SCSE,D,689.0
200005.0,SCSR,D,20.0  
200005.0,SCTB,D,4051.0
200005.0,SCTC,D,915.0
200005.0,SCTC,I,18.0
200005.0,SCTE,D,1119.0
200005.0,SCTE,I  ,48.0
200005.0,SCTN,D,138.0
200005.0,,D,187.0
200005.0,SCVM,D,257.0
200006.0,SCAC,D,
200006.0,,D,2.0
200006.0,SCAR  ,D,
200006.0,SCAR,I,75.0
200006.0,SCBA,D,272.0
200006.0  ,,D  ,68.0
,SCCF,D,329.0
200006.0,SCCI,,485.0
200006.0,SCCI,I,
200006.0,SCCY,D,218.0
200006.0  ,SCDA,nan  ,1202.0
200006.0,SCDA  ,I,56.0
200006.0,SCEL,D,2776.0
200006.0,SCEL,I,2598.0
200006.0,SCES,,47.0
200006.0,SCFA,D,1313.0
200006.0,SCFM,D,136.0
200006.0,SCFT,D,2.0
200006.0,SCGE,D,61.0
200006.0,SCGZ,D,28.0
200006.0,SCHA,D,459.0
200006.0,SCHR,D,28.0
nan  ,SCIC,D,248.0
200006.0,SCIE,D,1043.0
200006.0,SCIE,I,11.0
,SCIP,D,17.0
200006.0,SCIP,I,17.0
200006.0,SCJO,D,113.0
200006.0,SCLC,D,445.0
200006.0,SCLL,D,134.0
200006.0,SCRD,D,304.0
200006.0,nan  ,,812.0
200006.0,SCSR,D,14.0
200006.0,SCTB,D,3814.0
200006.0,SCTC,D,
200006.0,SCTC,I,12.0
200006.0,SCTE,D,1115.0
200006.0,SCTE,I,43.0
200006.0,SCTI,D,1851.0
200006.0,SCTN,D,131.0
200006.0,SCVD,D,157.0
200006.0,SCVM,D,298.0
200007.0,SCAC,D,2.0
200007.0,SCAP,D,2.0
200007.0,SCAR  ,D,499.0
200007.0,SCAR,I  ,78.0
200007.0,SCBA,D,328.0
200007.0,SCCC,D,78.0
200007.0,SCCF  ,D,363.0
200007.0,SCCH,D,301.0
200007.0,SCCI,,589.0
200007.0,SCCI,I,25.0
200007.0  ,SCCY,D,258.0
200007.0,SCDA,D,1360.0
200007.0,nan  ,I,62.0
200007.0,SCEL,D,3166.0
200007.0,SCEL,I,
200007.0,SCES,D,62.0
200007.0,SCFA,D,1564.0
200007.0  ,SCFA,I,8.0
200007.0,SCFM,D,142.0
200007.0,SCGE,D,101.0
200007.0,,D,46.0
200007.0,SCHA,D,342.0
200007.0,SCHA  ,I  ,2.0  
200007.0,SCHR,,30.0
200007.0,SCIC,,457.0
200007.0,SCIE,D,1374.0
200007.0,SCIE,I,18.0
200007.0,SCIP,D,19.0  
200007.0,SCIP,I,19.0
200007.0,SCJO,D,112.0
200007.0,SCLC,D,
200007.0,SCLL,D,118.0
200007.0,SCNT,D,2.0
200007.0,SCRD,D,384.0
200007.0,SCSE,D,757.0
200007.0,SCSR,D,20.0
200007.0,SCTB,D,5171.0
,SCTC  ,D,795.0
200007.0,SCTC,I,19.0
200007.0,SCTE,D  ,1265.0
200007.0,SCTE,I,48.0
200007.0,SCTI,D,2318.0
200007.0,SCTN,D,130.0
200007.0,SCVD,D,183.0
200007.0,SCVM,D,384.0  
200008.0,SCAP,D  ,6.0
200008.0,SCAR,D,522.0
200008.0,SCAR,I,89.0
200008.0  ,SCBA,D,
200008.0,SCCC,D,nan  
200008.0,SCCF,D,343.0
200008.0,SCCH  ,D,225.0
200008.0,SCCI,D,579.0
200008.0,,I,12.0  
200008.0,SCCY  ,D,303.0
200008.0,SCDA,D,1325.0  
200008.0,,I,64.0
200008.0,SCEL,D,3329.0
200008.0,SCEL,I,2845.0
,SCES,D,87.0
200008.0,SCFA,D,1600.0
200008.0,SCFM,D,154.0
200008.0,SCFT,D,4.0
200008.0,SCGE,D,153.0
200008.0,SCGZ,D,36.0
200008.0,SCGZ,I,3.0
200008.0,SCHA,D,375.0
200008.0,SCHA,I,3.0
200008.0,SCHR,D,40.0
200008.0,SCIC,D,482.0
200008.0,SCIE,D,1316.0
200008.0,SCIE,I,4.0
200008.0,SCIP,,17.0
200008.0,SCIP  ,I,17.0
200008.0,SCJO,D,474.0
200008.0,SCLC,D,647.0
200008.0,SCLL,D,55.0
200008.0,SCNT,D,2.0
200008.0,SCRD,D,395.0
200008.0,SCSE,D,870.0
200008.0  ,SCSR,D,10.0
,SCTB,D,4549.0
200008.0  ,SCTC,D,964.0
200008.0  ,SCTC  ,I,17.0
200008.0,SCTE,D,1267.0
200008.0,,I,37.0
200008.0,SCTI,D,2131.0
200008.0,SCTN,D,153.0
200008.0,SCVD,D,217.0
200008.0,SCVD,I,2.0
200008.0,SCVM,D,
200009.0,SCAR,D,515.0
200009.0,SCAR,I,99.0
200009.0,SCBA,,262.0
200009.0,SCCC,D,58.0
200009.0,SCCF,D,325.0
200009.0,SCCH  ,D,263.0
200009.0,SCCI,D,583.0
200009.0,SCCI,I,20.0
200009.0,SCCY,D,171.0
200009.0,SCDA,,1526.0
200009.0,SCDA  ,I,60.0
200009.0,SCEL,D,3271.0
200009.0  ,SCEL,I,2827.0
,SCES,D,67.0
200009.0,SCFA,D,1532.0
200009.0,SCFA,I,3.0
200009.0,SCFM,D,152.0
200009.0,,D,2.0
200009.0,SCGE,D,157.0
200009.0,SCGZ,D,28.0
200009.0,SCGZ,I,
200009.0,,D,349.0
200009.0,SCHR,D,24.0  
200009.0,SCIC,D,438.0
200009.0,SCIE,D,1238.0
200009.0,SCIE,I,7.0
200009.0,SCIP,D,20.0
200009.0,SCIP,I  ,18.0
200009.0,SCJO,D,672.0
200009.0,SCLC,D,1057.0
200009.0,SCLL,D,
200009.0,SCRD,D  ,396.0
200009.0,SCSE,D,831.0
200009.0,SCSR,D,22.0
200009.0,SCTB,D,4183.0
,SCTC,D,970.0
200009.0,SCTC,I,9.0
200009.0,,D,1315.0
200009.0,SCTE,I,48.0
200009.0,SCTI,D,1886.0
200009.0,SCTN,D  ,177.0
200009.0,SCVD,D,183.0
200009.0,SCVM,D,303.0
200010.0,SCAC,D,4.0
200010.0,nan  ,D,568.0
200010.0,SCAR,I,123.0
,SCBA,D,323.0
200010.0,SCCC,,82.0
200010.0,SCCF,D,273.0
200010.0,SCCF,I,1.0
200010.0,SCCH,D,348.0
200010.0,SCCI,D,662.0  
200010.0,SCCI,I,27.0  
200010.0,SCCY,D,294.0
200010.0,SCDA,D,1417.0
200010.0,SCDA,I,60.0
200010.0,SCEL,D,3358.0
200010.0,SCEL,I,2835.0
200010.0,SCES,D,83.0
200010.0,SCFA,D,1642.0
200010.0,SCFA,I,6.0
200010.0,SCFM,D,312.0
200010.0,SCGE,D,185.0
200010.0,,D,46.0
200010.0,SCGZ,I  ,4.0
200010.0,SCHA,D,389.0
200010.0,SCHR,D,
200010.0,SCIC,D,686.0
200010.0,SCIE  ,D,1443.0
200010.0,SCIE,I,3.0
